"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"MrkBnt","2019-04-25 09:52","27","34","DCU running this great event on 2 May: Sustainable Development Goals - Recognising and Enhancing our Research Contribution. Important work and a great format to explain it! @RoLyonz @robgillanders @muirtheimhne https://www.eventbrite.com/e/dcu-and-the-sustainable-development-goals-recognising-and-enhancing-our-research-contribution-tickets-60311021890?aff=estw … #TalentGarden @talentgardenie @AliJSheridanpic.twitter.com/rwm073Bt5o","","@RoLyonz @robgillanders @muirtheimhne @talentgardenie @AliJSheridanpic","#TalentGarden","1121336081532760064","https://twitter.com/MrkBnt/status/1121336081532760064",""
"Fairtrade_ie","2019-04-25 09:36","0","0","The @UN ‘s Sustainable Development Goals aim to end malaria and other communicable diseases by 2030    Check out Fairtrade’s work with the SDGs here https://www.fairtrade.ie/get-involved/fairtrade-fortnight/ …  #SDG3 #EndMalaria #ReadyToBeatMalaria","","@UN","#SDG3 #EndMalaria #ReadyToBeatMalaria","1121332130133553152","https://twitter.com/Fairtrade_ie/status/1121332130133553152",""
"BEinIreland","2019-04-24 14:29","4","13","🗣 On #DiplomacyDay we reaffirm the central place of #Multilateralism and international cooperation at the 🗣 of @BelgiumMFA’s policies and actions.  🗣 Peace,  🗣 Human rights,   🗣 Sustainable development,  All 🗣 challenges requiring   #Diplomacy4Peace! #MultilateralismMatterspic.twitter.com/WGiqfytp1W","","@BelgiumMFA","#DiplomacyDay #Multilateralism #Diplomacy4Peace #MultilateralismMatterspic","1121043480837599232","https://twitter.com/BEinIreland/status/1121043480837599232","🗣 💙 🕊 🌈 🍃 🌎"
"SheilaNunan","2019-04-24 12:23","7","24","With Dennis Sinyolo from Education Ireland at #INTOCongress19 I worked hard to secure Quality Education as a Sustainable Development Goal at the United Nations when it was under attack. #SustainableDevelopment #EducationForAll #UNpic.twitter.com/qmKnd4k8mH","","","#INTOCongress19 #SustainableDevelopment #EducationForAll #UNpic","1121011714412171264","https://twitter.com/SheilaNunan/status/1121011714412171264",""
"eoinneylon","2019-04-24 11:36","0","1","Can't but agree Philip. Some areas seem to have been prioritised over the rest in our area. There needs to be a more even spread of investment & services for a more sustainable development in our part of the city. As I voiced at the Scout Hall meeting a few weeks ago......","","","","1120999977893924864","https://twitter.com/eoinneylon/status/1120999977893924864",""
"iamcalebdee","2019-04-23 13:44","0","2","It's #earthday2019, incidentally, I saw this giant whale made from plastic collections at Utrecht City Centre.The obvious msg is to save the aquatics from plastic pollution.The msg about sustainable development is very much out there but how much are we willing to commit to such? pic.twitter.com/dlY5oVHtod","","","#earthday2019","1120669737124597760","https://twitter.com/iamcalebdee/status/1120669737124597760",""
"ECOUNESCO","2019-04-17 18:52","3","4","To celebrate upcoming #earthday, we had a scavenger hunt with our #dublin Your for Sustainable Development Programme in Stephens Green Park  What are your plans? #Earthday2019pic.twitter.com/zCGw6nDuVR","","","#earthday #dublin #Earthday2019pic","1118572954848198656","https://twitter.com/ECOUNESCO/status/1118572954848198656"," 🌍"
"CephalopodsRule","2019-04-16 13:56","0","1","Not sure ahaha :P    Leaning towards a 2 year Masters in Sustainable development at the moment","","","","1118135985404022794","https://twitter.com/CephalopodsRule/status/1118135985404022794",""
"UCD_SDG","2019-04-16 12:40","6","16","Guess who's here! @Fairtrade_ie setting up and getting ready to talk to us all about what we can do to help make the planet a better place! Don't forget to stop by! 🌍 #fairtrade #SDGs #sustainabledevelopment #teaching #ucdsdgweekpic.twitter.com/rB02t6F7Pi","","@Fairtrade_ie","#fairtrade #SDGs #sustainabledevelopment #teaching #ucdsdgweekpic","1118117060989607941","https://twitter.com/UCD_SDG/status/1118117060989607941","🌍"
"UCD_SDG","2019-04-12 19:05","31","43","It's right around the corner! #UCD #sdgweek, the 16th and the 17th of April in the @ucddublin @UCDSU centre. From #sustainable energy to ethical fashion and everything in between, we give you the low down on how you can help save the planet! 🌍  #SustainableDevelopment #sdg #SDGspic.twitter.com/8LSjLeL0IK","","@ucddublin @UCDSU","#UCD #sdgweek #sustainable #SustainableDevelopment #sdg #SDGspic","1116764407441367041","https://twitter.com/UCD_SDG/status/1116764407441367041","🌍"
"offaly_ppn","2019-04-11 18:54","1","2","@offaly_ppn #SustainableDevelopment #greenoffaly #environment #resources Here at the Darmagh Centre Tullamore discussing Sustainable Towns & Village.https://twitter.com/offaly_ppn/status/1116398233469751301 …","","@offaly_ppn","#SustainableDevelopment #greenoffaly #environment #resources","1116399207819153409","https://twitter.com/offaly_ppn/status/1116399207819153409",""
"ECOUNESCO","2019-04-11 10:32","1","4","Our youth for sustainable development participants were speaking at #SustFood2030. That's what we're all about - making young people's voices heard ⚡ #Sdgs4allhttps://twitter.com/IrishEnvNet/status/1116266604021583872 …","","","#SustFood2030 #Sdgs4allhttps","1116272702485159937","https://twitter.com/ECOUNESCO/status/1116272702485159937","⚡"
"learning_fest","2019-04-11 10:08","9","25","Raúl Valdes Cotera from UNESCO Institute for Lifelong Learning @UIL discussing Learning Cities ‘Cork Call to Action’ - how to promote equitable cities that are green, healthy & have sustainable development goals #CorkLearningFest2019 #corkloveslearningpic.twitter.com/KI0WIviZcp","","@UIL","#CorkLearningFest2019 #corkloveslearningpic","1116266714088472578","https://twitter.com/learning_fest/status/1116266714088472578",""
"BernardJoyce","2019-04-11 09:32","1","2","Mayo students volunteering overseas #SustainableDevelopment #sustainabledevelopmentgoals #GlobalGoals  https://www.con-telegraph.ie/news/roundup/articles/2019/04/10/4172354-mayo-students-volunteering-overseas/ …","","","#SustainableDevelopment #sustainabledevelopmentgoals #GlobalGoals","1116257637325316096","https://twitter.com/BernardJoyce/status/1116257637325316096",""
"ECOUNESCO","2019-04-08 20:41","3","6","⭐ This week, a group from our Youth for Sustainable Development programme are serving as Irish Youth Delegates as part of the #ecosocyouthforum at the United Nations in NYC ⭐#youth2030 #agenda2030 #sdgs4all #sdgs2030pic.twitter.com/n6tcLMSSVU","","","#ecosocyouthforum #youth2030 #agenda2030 #sdgs4all #sdgs2030pic","1115338938724560898","https://twitter.com/ECOUNESCO/status/1115338938724560898","⭐ ⭐"
"Ajotalk","2019-04-03 21:11","1","4","Key ingredients to Sustainable Development & enhancing Health & Wellbeing in communities.    @HealthyIreland  @Wexican7187https://twitter.com/healthynorway/status/1113087203771592705 …","","@HealthyIreland @Wexican7187https","","1113534415945248769","https://twitter.com/Ajotalk/status/1113534415945248769",""
"VacanthomesIRL","2019-04-01 12:13","1","0","Bringing #vacanthomes back into use benefits everyone. Also helps to rejuvenate areas that are in decline #Housing #SustainableDevelopment https://twitter.com/GalwayCoCo/status/1112286005556666374 …","","","#vacanthomes #Housing #SustainableDevelopment","1112674362325372928","https://twitter.com/VacanthomesIRL/status/1112674362325372928",""
"VacanthomesIRL","2019-03-29 13:18","3","2","Increasing the housing supply will provide homes to families and individuals with a housing need. Also bringing #vacanthomes back into use helps rejuvenate areas in decline. #RebuildingIreland #Housing #SustainableDevelopment https://twitter.com/MayoCoCo/status/1110935863691800578 …","","","#vacanthomes #RebuildingIreland #Housing #SustainableDevelopment","1111618510222966785","https://twitter.com/VacanthomesIRL/status/1111618510222966785",""
"Delboysmate","2019-03-28 14:59","0","8","30m spent on plans for N6 Motorway that may never be built. Localism reigns in Galway, which has no plan B for proper sustainable planning that benefits all who live, work in or visit our city. 1970's planning that is out of time, bears no thought for sustainable development.","","","","1111281607170756608","https://twitter.com/Delboysmate/status/1111281607170756608",""
"GaddOlivia","2019-03-21 21:41","4","16","#WorldHomeEcDay sustainable development pic.twitter.com/UMEMIhUEgb","","","#WorldHomeEcDay","1108846033465954306","https://twitter.com/GaddOlivia/status/1108846033465954306",""
"VacanthomesIRL","2019-03-16 14:06","2","4","Bringing #vacanthomes back into use benefits everyone. New homes for families and individuals with a housing need. Also helps rejuvenate areas and protects services and jobs #RebuildingIreland #Housing #SustainableDevelopment #EconomicGrowth #StPatricksWeekendhttps://twitter.com/MayoDotIE/status/1093917800492646402 …","","","#vacanthomes #RebuildingIreland #Housing #SustainableDevelopment #EconomicGrowth #StPatricksWeekendhttps","1106919729183318016","https://twitter.com/VacanthomesIRL/status/1106919729183318016",""
"VolunteerFingal","2019-03-12 10:08","0","1","Attending a conversation on volunteering and the Sustainable Development Goals. Let's look at our work on a global scale... pic.twitter.com/wI8euf5eO1","","","","1105410351330484224","https://twitter.com/VolunteerFingal/status/1105410351330484224",""
"clare_ppn","2018-12-06 16:58","2","13","Sustainable Development Goals workshop just started at Glór with Clare PPN, IEN & Development Perspectives. pic.twitter.com/E54ow2Tmke","","","","1070724218508242944","https://twitter.com/clare_ppn/status/1070724218508242944",""
