"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"HouriganMike","2019-09-22 17:01","0","16","Interesting visitor to the garden 🐛 Death's-head hawkmoth larva (caterpillar) approx. 10cm    #moths #Roscommon #Ireland #wildlife #biodiversity @Irishwildlife @Wildlife_IRE @WildIreland @BioDataCentre @savebutterfliespic.twitter.com/1Q8zad1Gt9","","@Irishwildlife @Wildlife_IRE @WildIreland @BioDataCentre @savebutterfliespic","#moths #Roscommon #Ireland #wildlife #biodiversity","1175802227497361408","https://twitter.com/HouriganMike/status/1175802227497361408","🐛"
"CorinaHardgrave","2019-09-22 14:50","14","33","If you want to support chemical free small scale farming and preserve biodiversity in our environment join #TalamhBeo outside Leinster House on 16th October. Bring a bucket of soil #EcoHealth #Sustainabity #ClimateChange #Irelandhttps://twitter.com/hostandcompany/status/1175753788235407360 …","","","#TalamhBeo #EcoHealth #Sustainabity #ClimateChange #Irelandhttps","1175769458947907584","https://twitter.com/CorinaHardgrave/status/1175769458947907584",""
"maerkelig","2019-09-22 13:39","0","0","New technology allows #fishing fleets to double fishing capacity, depleting #fish stocks faster & fuelling further #overfishing ... square that with #biodiversity loss https://phys.org/news/2019-09-technology-fleets-fishing-capacityand-deplete.html …","","","#fishing #fish #overfishing #biodiversity","1175751461013262337","https://twitter.com/maerkelig/status/1175751461013262337",""
"greenparty_ie","2019-09-22 12:01","103","357","""Our priority now is to find out how this was allowed to happen."" Our @sdublincoco Councillor for Tallaght Central @liam_bs surveys the utter devesation at what was, up to this week, a thriving area for nature and biodiversity and a natural wetland in Tallaght. https://twitter.com/liam_bs/status/1175724093771014144 …","","@sdublincoco @liam_bs","","1175726738686566400","https://twitter.com/greenparty_ie/status/1175726738686566400",""
"desirelandeire","2019-09-22 10:15","0","1","CLIMATE/CULTURE ACTION DAY/NIGHT @desirelandeire - NatureRx NATURAL TREASURE Exhibition & Broadstone Honey Pressing    A celebration of urban biodiversity lost & found    #climatesctionculture #daynight… https://www.instagram.com/p/B2tUYNaCfVn/?igshid=1az3ii1ualt0w …","","@desirelandeire","#climatesctionculture #daynight","1175700161902850048","https://twitter.com/desirelandeire/status/1175700161902850048",""
"M_J_Lyons","2019-09-21 17:32","0","0","This really shows how @LeoVaradkar and @FineGael care for the environment, climate and biodiversity. (NOT) https://twitter.com/collieennis/status/1175396828369567744 …","","@LeoVaradkar @FineGael","","1175447785879080961","https://twitter.com/M_J_Lyons/status/1175447785879080961",""
"ellmucork","2019-09-21 17:19","0","1","That's shocking. We are in the middle of a biodiversity emergency 😡","","","","1175444397493751809","https://twitter.com/ellmucork/status/1175444397493751809","😡"
"colmansmidleton","2019-09-21 16:39","5","13","Almost 12 months ago, our student Alison Duggan addressed members of the Irish Government about the climate and biodiversity crisis. This was part of  @senseaboutsci and that #EvidenceMatters in policy making decisions. Not much has happened since, in this crisis.   @GretaThunbergpic.twitter.com/8815T3AlA4","","@senseaboutsci @GretaThunbergpic","#EvidenceMatters","1175434318270935040","https://twitter.com/colmansmidleton/status/1175434318270935040",""
"DubLoony","2019-09-21 15:23","1","4","Destroying a wetland habitat in a biodiversity crisis take some neck. @sdublincoco has some serious explaining to do.https://twitter.com/HerpSocIreland/status/1175391629097754625 …","","@sdublincoco","","1175415249354334209","https://twitter.com/DubLoony/status/1175415249354334209",""
"CorkEnvForum","2019-09-21 11:04","0","2","What was with those large orange. Balloons from some PR Company, don't they realise the damage balloons have on our #biodiversity I complained to the people there, not good enough with such species loss. Its a lazy prop #bannersnotballoonshttps://twitter.com/CorkNatNetwork/status/1175020557512974336 …","","","#biodiversity #bannersnotballoonshttps","1175350068402110464","https://twitter.com/CorkEnvForum/status/1175350068402110464",""
"CorkEnvForum","2019-09-20 23:31","0","1","It's not just the Climate don't forget our terrible #biodiversity loss, the basis of all species life @BioDataCentre @CorkNatNetworkhttps://twitter.com/NatGeo/status/1175171631301505026 …","","@BioDataCentre @CorkNatNetworkhttps","#biodiversity","1175175656633700354","https://twitter.com/CorkEnvForum/status/1175175656633700354",""
"Mt_Briscoe","2019-09-20 19:17","0","0","Lots of #butterflys around  @Mt_Briscoe this evening.     #MountBriscoeOrganicFarm  #Biodiversity pic.twitter.com/HfxzvmtQ77","","@Mt_Briscoe","#butterflys #MountBriscoeOrganicFarm #Biodiversity","1175111641496739842","https://twitter.com/Mt_Briscoe/status/1175111641496739842",""
"Mr_Lamper243","2019-09-20 15:11","2","4","Our #biodiversity lecture took place in @mountcongreve an absolutely beautiful day to listen to Michael talk about particular plants & trees where each had its own story Its definitely place worth going for the day!!   @HorticultureWIT #horticulture #gardening #GardenersWorldpic.twitter.com/Wn4bgoT0B3","","@mountcongreve @HorticultureWIT","#biodiversity #horticulture #gardening #GardenersWorldpic","1175049789744041984","https://twitter.com/Mr_Lamper243/status/1175049789744041984",""
"criodanomurchu","2019-09-20 14:24","0","3","Wow.  Incredible atmosphere at Eyre Square, Galway with hundreds of people rallying for #ClimateAction. These #ClimateStrikes show how much people care and we are calling on our governments to help not just us, but our biodiversity, job security, crop and food difficulties, etc. pic.twitter.com/rCxJC9tU0R","","","#ClimateAction #ClimateStrikes","1175037991561113600","https://twitter.com/criodanomurchu/status/1175037991561113600",""
"Blarney_NS","2019-09-20 12:03","2","9","Adam Whitbourn, of @Blarney_Castle, helping our school raise her 5th @GreenSchoolsIre Flag.  The children were awarded this flag for supporting #biodiversity in our environment.  #ClimateAction #ClimateStrike #ClimateChangepic.twitter.com/Gagd0Rfb17","","@Blarney_Castle @GreenSchoolsIre","#biodiversity #ClimateAction #ClimateStrike #ClimateChangepic","1175002481308393473","https://twitter.com/Blarney_NS/status/1175002481308393473",""
"DublinCARO","2019-09-20 07:44","8","6","Good morning🌞 Is your school or group looking for funding for a #climateaction #biodiversity idea? Then apply to your Council for Community Env Action fund by Sept 27th  @LAsIreland @Fingalcoco @dlrcc @SDC @DubCityCouncil https://www.fingal.ie/environment/local-agenda-21/ … #ClimateStrike #FridaysForFuture","","@LAsIreland @Fingalcoco @dlrcc @SDC @DubCityCouncil","#climateaction #biodiversity #ClimateStrike #FridaysForFuture","1174937304881741824","https://twitter.com/DublinCARO/status/1174937304881741824","🌞"
"raymondofoghlu","2019-09-19 18:54","0","2","https://www.farmingfornature.ie/awards/voting/     This is one of best initiatives in Ireland today. It gives a platform to farmers who care , farmers whose voices may not otherwise be heard. Agriculture and biodiversity are intrinsically interlinked so with 65% of Ireland farmed...this is where it's at!","","","","1174743565752250368","https://twitter.com/raymondofoghlu/status/1174743565752250368",""
"LiamLy","2019-09-19 17:30","3","22","Really nice to hear positive stories like this. We constantly hear from people all over the country who are taking positive actions for biodiversity. https://twitter.com/jgjcarey/status/1174569753127641088 …","","","","1174722533159055361","https://twitter.com/LiamLy/status/1174722533159055361",""
"LiamLy","2019-09-19 16:16","6","62","Well done @josephamadigan  Hedgerow are a national asset that need much more positive management for biodiversity https://twitter.com/josephamadigan/status/1174668743009546240 …","","@josephamadigan","","1174703895127502849","https://twitter.com/LiamLy/status/1174703895127502849",""
