"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"SusanMcGalway","2019-09-23 08:49","0","1","It has been my experience that newly graduated teachers, with less real class experience, often don’t a grasp of what is needed to help many children integrate into the class environment (through no fault of the own - colleges and dept are failing to prepare them adequately for)","","","","1176040758597627905","https://twitter.com/SusanMcGalway/status/1176040758597627905",""
"Taraustralis","2019-09-23 08:48","0","6","The council lied to his face and now are building on wetlands?     Three things:     1. Bad for the environment  2. Council is on WRONG side of history   3. Bad for business as building on WET lands open home owners up for disaster https://twitter.com/collieennis/status/1175396828369567744 …","","","","1176040502426296320","https://twitter.com/Taraustralis/status/1176040502426296320",""
"cywelo","2019-09-23 08:33","0","1","Yes my honourable governor, we will work alongside with you to build Delta State to prosperity and a stable environment for all indignes. Thank you sir","","","","1176036794367905792","https://twitter.com/cywelo/status/1176036794367905792",""
"punchedmonet_","2019-09-22 23:02","0","0","You got that right tbf. I always expect people to at least listen when it concerns our environment you know lol","","","","1175893200697012224","https://twitter.com/punchedmonet_/status/1175893200697012224",""
"PowellLeo","2019-09-22 21:52","0","2","She’s brilliant. Eaten twice in restaurant in Somerset House. Love her whole approach to cooking and her care for the environment","","","","1175875433138724865","https://twitter.com/PowellLeo/status/1175875433138724865",""
"SineadRoisin77","2019-09-22 21:14","0","0","‘Infusing’ the whole day refers to the attitudes we have twoards each other, to learning and to play, to our environment, to giving space for stillness and the transcend ent - all kids can do that without compromising their world view, and without saying Christian prayers.","","","","1175866054255534080","https://twitter.com/SineadRoisin77/status/1175866054255534080",""
"55Chrissyb","2019-09-22 18:19","2","10","@DCUWater @FreshwaterIE @FreshWaterWatch being a citizen scientist for the day was kinda of fun #waterquality #leavenotrace #lovewhereyoulive #environment pic.twitter.com/xeMPGUCDY4","","@DCUWater @FreshwaterIE @FreshWaterWatch","#waterquality #leavenotrace #lovewhereyoulive #environment","1175821897294077952","https://twitter.com/55Chrissyb/status/1175821897294077952",""
"jess_mannion","2019-09-22 17:17","1","5","Excited to teach through the conversation cafe method tomorrow. Hopefully will promote a greater understanding of the lecture, history of social care in Ireland prior to it. As well as a fun & interactive learning environment #profstudies2019 #itsligo #conversationcafe","","","#profstudies2019 #itsligo #conversationcafe","1175806230104817667","https://twitter.com/jess_mannion/status/1175806230104817667",""
"CllrMickDuff","2019-09-22 15:14","0","8","We have made our feelings known about this , sent message to Director of Environment last night, and I know my fellow Councillors are doing likewise.  We will keep everybody informed when we get answers.","","","","1175775267337506818","https://twitter.com/CllrMickDuff/status/1175775267337506818",""
"CorinaHardgrave","2019-09-22 14:50","14","33","If you want to support chemical free small scale farming and preserve biodiversity in our environment join #TalamhBeo outside Leinster House on 16th October. Bring a bucket of soil #EcoHealth #Sustainabity #ClimateChange #Irelandhttps://twitter.com/hostandcompany/status/1175753788235407360 …","","","#TalamhBeo #EcoHealth #Sustainabity #ClimateChange #Irelandhttps","1175769458947907584","https://twitter.com/CorinaHardgrave/status/1175769458947907584",""
